| Nesquik                       | adfghilpqrst | 14:51:38       | 14:54:46         | 00:03:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 17:53:09       | 18:22:42         | 00:29:57             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 17:44:27       | 18:22:42         | 00:38:26             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| z1ba228                       | diqrst | 17:54:10       | 18:22:42         | 00:28:35             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 18:22:50       | 18:24:00         | 00:01:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 18:26:14       | 18:27:28         | 00:01:17             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 18:22:51       | 18:27:31         | 00:04:44             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| z1ba228                       | diqrst | 18:22:49       | 18:27:31         | 00:04:45             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 18:24:24       | 18:27:31         | 00:03:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 18:27:39       | 18:27:40         | 00:00:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 18:27:40       | 18:29:27         | 00:01:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 18:27:40       | 18:33:41         | 00:06:05             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| z1ba228                       | diqrst | 18:27:37       | 18:37:25         | 00:09:50             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 18:33:13       | 18:38:39         | 00:05:29             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 18:33:13       | 18:53:23         | 00:10:09             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 18:53:32       | 18:56:34         | 00:03:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 18:53:32       | 18:59:34         | 00:02:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 19:00:00       | 19:23:19         | 00:23:20             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 18:58:20       | 19:25:02         | 00:27:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 19:05:05       | 19:33:45         | 00:28:45             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 19:07:27       | 19:41:55         | 00:34:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 19:51:46       | 19:54:19         | 00:02:38             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 19:54:50       | 20:22:47         | 00:28:12             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 20:23:17       | 20:46:10         | 00:22:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 20:46:22       | 20:57:35         | 00:11:18             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 21:05:18       | 21:11:18         | 00:06:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 21:11:28       | 21:32:20         | 00:20:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 07.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 07.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 06:57:38       | 07:13:23         | 00:15:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 08:22:58       | 08:27:06         | 00:04:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 08:51:12       | 08:54:48         | 00:04:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 09:10:51       | 09:15:21         | 00:04:37             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 09:47:20       | 09:51:27         | 00:04:16             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Чел он Влад                       | adgiklprst | 09:50:19       | 09:52:16         | 00:02:18             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqrst | 09:58:00       | 10:13:43         | 00:16:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqrst | 10:06:31       | 10:25:15         | 00:19:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqrst | 11:40:09       | 11:57:17         | 00:17:28             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 13:10:02         | 00:07:51             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqrst | 12:54:41       | 13:18:28         | 00:23:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| lfg                       | adgiklprst | 14:00:57       | 14:05:04         | 00:04:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 14:21:18       | 14:22:25         | 00:01:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 15:13:52         | 00:09:15             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklnpqrst | 15:00:22       | 15:35:06         | 00:35:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 15:17:22       | 15:35:06         | 00:17:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| lfg                       | adgiklprst | 16:13:55       | 16:23:31         | 00:09:39             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| lfg                       | adgiklprst | 16:27:08       | 16:27:45         | 00:00:39             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| lfg                       | adgiklprst | 16:28:49       | 16:29:52         | 00:01:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 16:32:13       | 16:38:00         | 00:05:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklnpqrst | 16:26:50       | 16:38:00         | 00:11:20             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| LALKA228                       | diqrst | 16:38:34       | 16:38:48         | 00:00:21             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 16:38:42       | 16:44:50         | 00:06:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 16:38:13       | 17:02:30         | 00:24:21             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 16:58:27       | 17:18:48         | 00:20:34             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| FANTOM_228                       | diqrst | 17:07:10       | 17:24:06         | 00:17:12             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklnpqrst | 16:38:38       | 17:24:06         | 00:45:37             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| LALKA228                       | diqrst | 16:38:53       | 17:24:06         | 00:45:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| LALKA228                       | diqrst | 17:24:11       | 17:25:16         | 00:01:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| LALKA228                       | diqrst | 17:27:38       | 17:37:47         | 00:10:11             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| LALKA228                       | diqrst | 17:39:21       | 17:45:11         | 00:05:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 17:47:54       | 17:55:57         | 00:08:15             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Prototip                       | diqrst | 17:31:02       | 18:17:21         | 00:46:40             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklnpqrst | 17:24:33       | 18:18:51         | 00:54:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| FANTOM_228                       | diqrst | 17:24:16       | 18:26:46         | 01:02:35             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 18:12:52       | 18:58:31         | 00:45:49             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 18:58:38       | 19:50:41         | 00:52:05             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 20:36:59       | 20:39:02         | 00:02:30             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklmnpqrst | 20:39:06       | 20:39:57         | 00:00:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklmpqrst | 20:40:00       | 20:44:06         | 00:04:08             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 20:35:06       | 20:45:33         | 00:10:47             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 21:03:34       | 21:04:50         | 00:01:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 21:05:01       | 21:05:09         | 00:00:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 21:08:09       | 21:08:14         | 00:00:08             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 21:15:47       | 21:20:41         | 00:04:59             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 21:12:38       | 21:41:32         | 00:29:08             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 21:41:36       | 21:41:51         | 00:00:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 21:42:00       | 21:45:22         | 00:03:31             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nepodrazhaemiy.                       | adgiklprst | 21:55:58       | 21:57:26         | 00:01:36             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nepodrazhaemiy.                       | adgiklprst | 22:00:14       | 22:02:01         | 00:01:57             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nepodrazhaemiy.                       | adgiklprst | 22:02:03       | 22:03:12         | 00:01:11             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nepodrazhaemiy.                       | adgiklprst | 22:11:03       | 22:11:20         | 00:00:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nepodrazhaemiy.                       | adgiklprst | 22:11:37       | 22:11:45         | 00:00:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 22:16:10       | 22:30:57         | 00:14:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nepodrazhaemiy.                       | adgiklprst | 22:18:03       | 22:30:57         | 00:12:57             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 22:31:06       | 22:34:17         | 00:03:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nepodrazhaemiy.                       | adgiklprst | 22:31:03       | 22:35:47         | 00:04:46             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 22:41:04       | 22:44:45         | 00:03:45             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 23:15:55       | 23:20:23         | 00:04:30             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 23:20:26       | 23:22:31         | 00:02:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 23:20:07       | 23:22:31         | 00:02:29             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 23:22:37       | 23:26:35         | 00:04:00             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 23:22:38       | 23:26:35         | 00:04:00             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 23:26:41       | 23:33:35         | 00:06:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 23:26:50       | 23:33:40         | 00:06:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 23:46:50       | 23:51:12         | 00:04:29             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 23:51:21       | 23:52:49         | 00:01:32             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 23:52:57       | 00:03:26         | 00:10:31             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 08.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 00:03:33       | 00:09:09         | 00:05:39             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 08.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 00:09:21       | 00:12:17         | 00:02:58             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 08.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 00:12:23       | 00:13:59         | 00:01:38             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 08.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 08:24:19         | 00:21:09             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 08:24:29       | 08:37:25         | 00:13:02             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqrst | 08:40:13       | 08:40:22         | 00:00:26             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqrst | 08:40:30       | 08:50:31         | 00:10:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 09:24:14       | 09:32:28         | 00:08:20             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Prototip                       | diqrst | 10:44:21       | 11:19:28         | 00:35:22             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklnpqrst | 14:35:32       | 14:37:15         | 00:02:09             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklnpqrst | 14:46:05       | 14:46:53         | 00:01:02             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 14:53:40       | 14:55:15         | 00:01:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 14:55:32       | 14:58:04         | 00:02:35             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklnpqrst | 15:16:01       | 15:17:03         | 00:01:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklnpqrst | 15:29:58       | 15:30:47         | 00:01:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 16:14:01       | 16:33:27         | 00:19:48             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 16:33:50       | 16:36:09         | 00:02:22             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| FANTOM_228                       | diqrst | 16:39:12       | 17:11:28         | 00:33:46             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqrst | 17:09:08       | 17:24:05         | 00:17:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| z1ba228                       | diqrst | 19:35:02       | 19:54:26         | 00:19:32             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| z1ba228                       | diqrst | 19:54:32       | 20:00:47         | 00:06:17             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 20:01:09       | 20:04:56         | 00:04:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| z1ba228                       | diqrst | 20:03:42       | 20:20:18         | 00:16:38             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 21:21:32         | 00:25:09             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 22:25:43       | 22:31:54         | 00:06:20             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 09.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqrst | 05:47:15       | 05:52:51         | 00:05:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 07:21:49       | 07:30:38         | 00:08:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 07:47:49       | 07:54:03         | 00:06:32             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqrst | 08:13:16       | 08:14:08         | 00:01:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqrst | 08:40:36       | 08:45:45         | 00:05:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 10:33:06       | 10:33:56         | 00:01:12             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 10:34:02       | 10:39:42         | 00:05:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqrst | 10:29:02       | 11:00:48         | 00:31:57             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| КИБОРГ УБИЦА                       | diqrst | 11:29:43       | 11:30:00         | 00:00:40             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 15:18:53       | 15:53:50         | 00:35:18             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| SNoKi                       | adfghilpqrst | 17:07:56       | 17:11:08         | 00:03:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| SNoKi                       | adfghilpqrst | 17:13:04       | 17:27:39         | 00:14:40             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 18:21:45         | 00:09:17             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| z1ba228                       | diqrst | 19:32:46       | 19:37:52         | 00:05:15             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| z1ba228                       | diqrst | 19:54:50       | 20:09:33         | 00:14:44             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
